bab,ten
baf,
bal,
bam,create
baq,self
bed,
ben,b letter
ber,
bes,
bib,
bif,
bim,
biq,else
bis,across (trans-)
bod,
bon,
bor,
bos,
bub,
buf,
bul,
bum,u vowel
dad,
dan,
dar,
das,
deb,
def,
dem,
did,
din,d letter
dir,
dis,
dob,two
dof,
dol,o vowel
dom,"area or state of being (-dom)"
dud,
duk,"thing (hatchling)"
dun,
dur,
dus,
fab,
faf,
fal,"full of (-full)"
fam,
fed,
fen,
fer,
fes,
fet,eight
fib,
fif,
fim,
fin,"belief in x"
fod,f letter
fon,
for,
fos,
fub,
fuf,
ful,
fum,
gad,god
gag,
gar,"language (-ese)"
gav,a vowel
gax,
gek,
geq,
gez,
gig,g letter
giv,
gix,
gok,
goq,
goz,
gug,
guv,
gux,
hab,zero
haf,
hal,
ham,
hed,
hen,
her,
hes,
hib,
hif,
him,
hod,
hon,
hor,
hos,
hub,
huf,h letter
hul,
hum,
kam,five
kan,"ability (-ability)"
kaq,
kaz,
keg,
kev,
kex,k letter
kik,
kin,"-ableness"
kiq,
kiz,
kog,
kov,
kox,
kuk,
kuq,
kuz,
lab,
laf,
lal,
lam,
las,"less of (-less)"
led,
len,"the nature of doing x (-ence)"
ler,
les,
lib,l letter
lif,
lim,
lod,
lon,four
lor,
los,
lub,
luf,
lul,
lum,
mab,
maf,
mal,
mam,m letter
mar,"more (-er)"
mav,"loving (-phile)"
med,
men,
mer,
mes,
mib,
mif,
mim,i vowel
mis,"most (-est)"
mod,twelve
mon,"featuring x"
mor,
mox,"the model of the action ("the transform", "the create")"
mub,
muf,
mul,
mum,
nad,"having some aspects of (-ish)"
nal,"period of x (-hood)"
nan,
nar,
nas,nine
neb,e vowel
nef,
nem,
nid,n letter
nin,
nir,
nis,
nob,
nof,
nol,
nom,
nud,
nun,
nur,
nus,
pap,
pat,"act of"
pet,
pip,p letter
pot,
puk,eleven
rad,
ran,
ras,
rat,"the x action process"
rav,"reminiscent of (-esque)"
reb,
ref,
rem,
rid,
rin,
ris,
rob,
rof,
rol,r letter
rom,
rud,
run,
rus,
sad,
san,three
sar,
sas,
seb,
sef,
sem,
sid,
sin,
sir,
sis,
sob,
sof,
sol,
som,s letter
sud,
sun,
sur,
sus,
tat,
taz,"very much of (-some)"
tep,
tev,"relates to (affectional)"
tit,
top,
tub,"over (overburden)"
tul,"it's a tool (zipper)"
tut,t letter
vag,
van,"having the nature of (-ivity, -ity, -ance)"
vav,v letter
vax,
ved,"study or science of (-ology)"
vek,
veq,
vez,
vig,
viv,seven
vix,preserve
vok,
voq,
voz,
vug,
vul,"result (-tion)"
vuv,
vux,
wag,
war,
wav,w letter
wax,
wek,
weq,
wez,
wig,
wir,
wiv,
wix,
wok,
woq,
wos,"disease (-osis)"
woz,
wug,
wur,
wuv,
wux,
xab,six
xag,
xam,"the state of being x (-acy, -ness, -ship)"
xav,
xax,
xek,x letter
xeq,
xez,
xig,
xit,"shaped"
xiv,destroy
xix,
xok,
xoq,
xoz,
xug,
xuv,
xux,
yak,
yaq,
yaz,
yeg,
yev,
yex,
yik,
yip,"resembling (-istic)"
yiq,
yiz,
yog,practice of focusing on x (-ism)
yov,
yox,
yuk,y letter
yuq,
yuz,
zak,
zaq,
zaz,
zeg,z letter
zen,one
zev,
zex,
zik,
ziq,q letter
zir,"pertaining to x (pleasantry)"
ziz,
zog,
zov,
zox,
zuk,
zun,"-wise"
zuq,
zuz,
